"neg.compound.name","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Diflubenzuron...1.2086155",0.0159869571428573,-0.967670439285714,0.0467225825207684,0.963291461134889,0.999669890616597,-4.64657618820113
"X196.9142.2.8142314",-0.0173985450000001,-1.61176320714286,-0.0466699542020398,0.963332777801403,0.999669890616597,-4.64657644347264
"C3.H.Cl2.N3.O4.S...2.9340768",0.0172000285714285,-1.99923524642857,0.046588078654075,0.963397055666352,0.999669890616597,-4.64657684003497
"C3.H.Cl2.N3.O4.S...3.4573843",-0.0163024507142856,-2.04227797503571,-0.0451024572631869,0.964563414031643,0.999669890616597,-4.64658391472174
"Abscisic.acid.glucose.ester",0.0183202571428573,0.531247021428572,0.0448676338776144,0.964747781051925,0.999669890616597,-4.64658501200304
"X9S.hydroxy.decanoic.acid",-0.015001292857143,0.986178646428572,-0.0445655711955735,0.964984942726397,0.999669890616597,-4.64658641506077
"X25.Hydroxyvitamin.D2.25..beta.glucuronide.",0.0152878928571427,-0.638455421428571,0.0445494101969489,0.964997631478086,0.999669890616597,-4.64658648986037
"Ubiquinol",-0.0171536157142857,-1.83135703321429,-0.0440176666959416,0.965415133413433,0.999669890616597,-4.64658893585831
"X763.5933.11.878692",-0.0128201221428572,-1.19748972321429,-0.0435203188229748,0.965805638771658,0.999669890616597,-4.64659119706702
"PA.22.6.4Z.7Z.10Z.13Z.16Z.19Z..22.1.11Z.....14.153385",-0.0161147071428572,-0.747532825,-0.0434237752041698,0.965881443496216,0.999669890616597,-4.64659163302918
"PS.20.1.11Z..18.0....15.633462",-0.0132644071428572,-0.789459119642858,-0.0433133906380912,0.965968116355379,0.999669890616597,-4.64659213030707
"X872.6955.18.55154",-0.014321707142857,-1.10203760357143,-0.0427220209139757,0.966432461411524,0.999669890616597,-4.64659477285824
"X820.6038.19.829151",-0.00978896428571424,-0.0969989482142859,-0.0424311539386482,0.966660855495772,0.999669890616597,-4.64659605928249
"C59.H83.Cl.N2.O",0.0142875499999999,0.155863616071429,0.0418040821815695,0.967153253879986,0.999669890616597,-4.6465988027633
"PE.17.0.23.0..U....20.311695",0.0162416107142858,-1.78831176571429,0.0417612535559057,0.967186884896422,0.999669890616597,-4.64659898865183
"PS.20.3.8Z.11Z.14Z..22.0.",0.00572535714285716,-1.00420310714286,0.0404248470202899,0.968236324785868,0.999669890616597,-4.64660469334217
"Ins.1.P.Cer.d18.1.22.0....21.755308",-0.0134646285714285,1.58280978214286,-0.0403241536374163,0.968315398732977,0.999669890616597,-4.64660511565681
"X1..25.dihydroxy.24.oxo.23.azavitamin.D2...1..25.dihydroxy.24.oxo.23.azaergocalciferol",-0.00925497142857153,0.0996929142857143,-0.0398625595063592,0.968677890350834,0.999669890616597,-4.64660703813692
"C26.H52.Cl2.S",-0.0131945357142856,-0.659955107142858,-0.0384635743683676,0.969776561525911,0.999669890616597,-4.64661272958267
"C39.H78.N12.O6.S",-0.0146716714285714,0.333354514285714,-0.0379496575764075,0.970180173930272,0.999669890616597,-4.64661476929014
"Pyruvatoxime...14.072154",-0.0128722071428572,-0.671896533928571,-0.0376378909126329,0.970425028716906,0.999669890616597,-4.64661599330871
"X128.0063.0.55230767",0.0114936714285713,1.02858017321429,0.0367971749354333,0.971085323950666,0.999669890616597,-4.64661924371083
"C19.H36.Cl2.O",-0.0107172857142857,0.068077730357143,-0.0363602587027854,0.971428484934101,0.999669890616597,-4.64662090394446
"X.R..Mevalonic.acid...2.0191538",0.0128066499999999,-1.47133789642857,0.0359677792467185,0.971736749493456,0.999669890616597,-4.64662237842035
"X147.9733.10.838154",-0.0121963642857142,-1.00058196607143,-0.0357662387465912,0.971895046946611,0.999669890616597,-4.64662312935582
"PA.22.4.7Z.10Z.13Z.16Z..22.1.11Z.....22.167076",0.00809715714285719,-0.995349233928572,0.0356112937218508,0.972016747392015,0.999669890616597,-4.64662370380939
"Methanophenazine...13.782385",0.0107512857142857,-0.802377928571428,0.0343974080507045,0.972970209475858,0.999669890616597,-4.64662811796828
"C36.H20.N6.O8.S4",-0.01370265,-0.455017371428572,-0.0334138208533425,0.97374281169052,0.999669890616597,-4.64663158243509
"C8.H12.Cl2.N2.O6.S3",-0.0122615214285714,-0.4422865,-0.0331598259205136,0.973942327687564,0.999669890616597,-4.64663246075232
"Carmofur...0.67883325",-0.0115242428571428,0.0696459999999999,-0.0328819420735863,0.974160610746834,0.999669890616597,-4.64663341400244
"X2.2.Dimethyl.3.4.bis.4.methoxyphenyl..2H.1.benzopyran.7.ol.acetate",-0.0126552285714285,-0.954316882142857,-0.0328659473995805,0.974173174932711,0.999669890616597,-4.64663346862633
"C3.H12.N4.O.S2",-0.0109088857142857,0.0883571464285709,-0.0325707775840811,0.974405038893958,0.999669890616597,-4.64663447189989
"C3.H12.N4.O.S2...4.931083",-0.011182,0.0590141535714289,-0.0321166888309203,0.974761742632929,0.999669890616597,-4.646635997666
"C3.H12.N4.O.S2...5.0472503",0.012912392857143,-0.513690014285715,0.0316346380129042,0.975140417655205,0.999669890616597,-4.6466375939517
"C3.H12.N4.O.S2...5.1649165",0.00706302142857135,0.8558775625,0.0316086891195019,0.975160801983011,0.999669890616597,-4.64663767919553
"C3.H12.N4.O.S2...5.179667",0.0106707499999999,0.712100510714285,0.0309474975671136,0.975680211395533,0.999669890616597,-4.64663982765917
"X870.6814.6.6631665",-0.0118441785714287,-0.036521146428571,-0.0305813242465563,0.975967869464087,0.999669890616597,-4.64664099795952
"C18.H45.N9.O.S2",-0.00876067142857142,-1.31162380714286,-0.0302894824039191,0.976197136732512,0.999669890616597,-4.64664192072142
"C39.H74.N4.S2",-0.0119710071428571,-0.0787451821428584,-0.0302603486462525,0.976220023963145,0.999669890616597,-4.64664201235253
"DG.22.6.4Z.7Z.10Z.13Z.16Z.19Z..24.0.0.0....11.803917",0.0112370071428571,-0.857439596428571,0.030043328132101,0.97639051409309,0.999669890616597,-4.64664269214832
"LacCer.d18.1.14.0....12.610251",-0.0084508999999999,-1.46120231785714,-0.0299534379289293,0.976461131691106,0.999669890616597,-4.64664297228795
"PS.P.20.0.22.4.7Z.10Z.13Z.16Z..",-0.00738707857142852,-1.78720633392857,-0.0297019427849225,0.976658706937887,0.999669890616597,-4.64664375160483
